algorithm,workload_type,workload_intensity,mean_avg_cpu_util,std_avg_cpu_util
arima,CPU-bound,Low,75.5,2.48327740429189
arima,CPU-bound,Moderate,43.75,8.890538041461083
arima,CPU-bound,High,6.833333333333333,0.6236095644623235
arima,IO-bound,Low,91.66666666666667,1.1960583412006103
arima,IO-bound,Moderate,82.58333333333333,1.247219128924647
arima,IO-bound,High,66.41666666666667,1.559023911155809
arima,Mixed,Low,75.16666666666667,6.312465621468542
arima,Mixed,Moderate,55.5,5.59389548227947
arima,Mixed,High,16.083333333333332,7.217840551177494
lstm,CPU-bound,Low,68.33333333333333,3.858612300930075
lstm,CPU-bound,Moderate,37.833333333333336,4.089281382128433
lstm,CPU-bound,High,5.75,0.7359800721939872
lstm,IO-bound,Low,91.16666666666667,2.5522321385189257
lstm,IO-bound,Moderate,82.33333333333333,1.9400744544704693
lstm,IO-bound,High,69.08333333333333,2.974428049595791
lstm,Mixed,Low,80.83333333333333,8.024268744807149
lstm,Mixed,Moderate,54.833333333333336,10.617072205755324
lstm,Mixed,High,21.5,5.689903338370521
roundrobin,CPU-bound,Low,70.41666666666667,5.539003119294622
roundrobin,CPU-bound,Moderate,37.916666666666664,10.12491426575499
roundrobin,CPU-bound,High,7.333333333333333,4.891886707146391
roundrobin,IO-bound,Low,91.91666666666667,0.9428090415820634
roundrobin,IO-bound,Moderate,81.66666666666667,4.18495984316324
roundrobin,IO-bound,High,66.66666666666667,0.31180478223116176
roundrobin,Mixed,Low,68.75,6.373774391990981
roundrobin,Mixed,Moderate,47.75,6.7175144212722016
roundrobin,Mixed,High,13.666666666666666,3.4721111093332766
