time,cpu_utilization,workload_type,workload_intensity
0,100.0,CPU-bound,Low
1,75.0,CPU-bound,Low
2,75.0,CPU-bound,Low
3,75.0,CPU-bound,Low
4,75.0,CPU-bound,Low
5,75.0,CPU-bound,Low
6,100.0,CPU-bound,Low
7,75.0,CPU-bound,Low
8,75.0,CPU-bound,Low
9,75.0,CPU-bound,Low
10,75.0,CPU-bound,Low
11,75.0,CPU-bound,Low
12,75.0,CPU-bound,Low
13,25.0,CPU-bound,Low
14,25.0,CPU-bound,Low
15,25.0,CPU-bound,Low
16,50.0,CPU-bound,Low
17,50.0,CPU-bound,Low
18,75.0,CPU-bound,Low
19,75.0,CPU-bound,Low
20,75.0,CPU-bound,Low
21,75.0,CPU-bound,Low
22,75.0,CPU-bound,Low
23,75.0,CPU-bound,Low
24,75.0,CPU-bound,Low
25,75.0,CPU-bound,Low
26,50.0,CPU-bound,Low
27,50.0,CPU-bound,Low
28,75.0,CPU-bound,Low
29,75.0,CPU-bound,Low
30,50.0,CPU-bound,Low
31,50.0,CPU-bound,Low
32,25.0,CPU-bound,Low
33,25.0,CPU-bound,Low
34,25.0,CPU-bound,Low
35,25.0,CPU-bound,Low
36,50.0,CPU-bound,Low
37,75.0,CPU-bound,Low
38,100.0,CPU-bound,Low
39,75.0,CPU-bound,Low
40,25.0,CPU-bound,Low
41,25.0,CPU-bound,Low
42,25.0,CPU-bound,Low
43,25.0,CPU-bound,Low
44,25.0,CPU-bound,Low
45,50.0,CPU-bound,Low
46,75.0,CPU-bound,Low
47,100.0,CPU-bound,Low
48,100.0,CPU-bound,Low
49,100.0,CPU-bound,Low
50,100.0,CPU-bound,Low
51,100.0,CPU-bound,Low
52,75.0,CPU-bound,Low
53,75.0,CPU-bound,Low
54,75.0,CPU-bound,Low
55,75.0,CPU-bound,Low
56,75.0,CPU-bound,Low
57,75.0,CPU-bound,Low
58,75.0,CPU-bound,Low
59,75.0,CPU-bound,Low
60,75.0,CPU-bound,Low
61,75.0,CPU-bound,Low
62,75.0,CPU-bound,Low
63,75.0,CPU-bound,Low
64,75.0,CPU-bound,Low
65,75.0,CPU-bound,Low
66,50.0,CPU-bound,Low
67,50.0,CPU-bound,Low
68,50.0,CPU-bound,Low
69,50.0,CPU-bound,Low
70,50.0,CPU-bound,Low
71,50.0,CPU-bound,Low
72,50.0,CPU-bound,Low
73,50.0,CPU-bound,Low
74,75.0,CPU-bound,Low
75,75.0,CPU-bound,Low
76,75.0,CPU-bound,Low
77,75.0,CPU-bound,Low
78,75.0,CPU-bound,Low
79,75.0,CPU-bound,Low
80,75.0,CPU-bound,Low
81,100.0,CPU-bound,Low
82,100.0,CPU-bound,Low
83,100.0,CPU-bound,Low
84,75.0,CPU-bound,Low
85,50.0,CPU-bound,Low
86,50.0,CPU-bound,Low
87,50.0,CPU-bound,Low
88,50.0,CPU-bound,Low
89,50.0,CPU-bound,Low
90,75.0,CPU-bound,Low
91,100.0,CPU-bound,Low
92,75.0,CPU-bound,Low
93,75.0,CPU-bound,Low
94,75.0,CPU-bound,Low
95,75.0,CPU-bound,Low
96,75.0,CPU-bound,Low
97,75.0,CPU-bound,Low
98,75.0,CPU-bound,Low
99,100.0,CPU-bound,Low
0,100.0,CPU-bound,Moderate
1,50.0,CPU-bound,Moderate
2,25.0,CPU-bound,Moderate
3,25.0,CPU-bound,Moderate
4,25.0,CPU-bound,Moderate
5,25.0,CPU-bound,Moderate
6,25.0,CPU-bound,Moderate
7,25.0,CPU-bound,Moderate
8,0.0,CPU-bound,Moderate
9,25.0,CPU-bound,Moderate
10,25.0,CPU-bound,Moderate
11,50.0,CPU-bound,Moderate
12,25.0,CPU-bound,Moderate
13,25.0,CPU-bound,Moderate
14,0.0,CPU-bound,Moderate
15,0.0,CPU-bound,Moderate
16,0.0,CPU-bound,Moderate
17,0.0,CPU-bound,Moderate
18,0.0,CPU-bound,Moderate
19,0.0,CPU-bound,Moderate
20,25.0,CPU-bound,Moderate
21,50.0,CPU-bound,Moderate
22,75.0,CPU-bound,Moderate
23,75.0,CPU-bound,Moderate
24,50.0,CPU-bound,Moderate
25,50.0,CPU-bound,Moderate
26,50.0,CPU-bound,Moderate
27,50.0,CPU-bound,Moderate
28,50.0,CPU-bound,Moderate
29,50.0,CPU-bound,Moderate
30,50.0,CPU-bound,Moderate
31,25.0,CPU-bound,Moderate
32,0.0,CPU-bound,Moderate
33,50.0,CPU-bound,Moderate
34,50.0,CPU-bound,Moderate
35,50.0,CPU-bound,Moderate
36,25.0,CPU-bound,Moderate
37,25.0,CPU-bound,Moderate
38,50.0,CPU-bound,Moderate
39,50.0,CPU-bound,Moderate
40,25.0,CPU-bound,Moderate
41,25.0,CPU-bound,Moderate
42,25.0,CPU-bound,Moderate
43,0.0,CPU-bound,Moderate
44,0.0,CPU-bound,Moderate
45,25.0,CPU-bound,Moderate
46,25.0,CPU-bound,Moderate
47,50.0,CPU-bound,Moderate
48,100.0,CPU-bound,Moderate
49,75.0,CPU-bound,Moderate
50,75.0,CPU-bound,Moderate
51,75.0,CPU-bound,Moderate
52,75.0,CPU-bound,Moderate
53,75.0,CPU-bound,Moderate
54,25.0,CPU-bound,Moderate
55,50.0,CPU-bound,Moderate
56,50.0,CPU-bound,Moderate
57,50.0,CPU-bound,Moderate
58,50.0,CPU-bound,Moderate
59,50.0,CPU-bound,Moderate
60,50.0,CPU-bound,Moderate
61,50.0,CPU-bound,Moderate
62,100.0,CPU-bound,Moderate
63,100.0,CPU-bound,Moderate
64,100.0,CPU-bound,Moderate
65,100.0,CPU-bound,Moderate
66,100.0,CPU-bound,Moderate
67,100.0,CPU-bound,Moderate
68,100.0,CPU-bound,Moderate
69,100.0,CPU-bound,Moderate
70,100.0,CPU-bound,Moderate
71,75.0,CPU-bound,Moderate
72,75.0,CPU-bound,Moderate
73,75.0,CPU-bound,Moderate
74,75.0,CPU-bound,Moderate
75,75.0,CPU-bound,Moderate
76,75.0,CPU-bound,Moderate
77,75.0,CPU-bound,Moderate
78,75.0,CPU-bound,Moderate
79,75.0,CPU-bound,Moderate
80,100.0,CPU-bound,Moderate
81,100.0,CPU-bound,Moderate
82,75.0,CPU-bound,Moderate
83,75.0,CPU-bound,Moderate
84,75.0,CPU-bound,Moderate
85,50.0,CPU-bound,Moderate
86,50.0,CPU-bound,Moderate
87,75.0,CPU-bound,Moderate
88,75.0,CPU-bound,Moderate
89,50.0,CPU-bound,Moderate
90,0.0,CPU-bound,Moderate
91,0.0,CPU-bound,Moderate
92,0.0,CPU-bound,Moderate
93,0.0,CPU-bound,Moderate
94,25.0,CPU-bound,Moderate
95,25.0,CPU-bound,Moderate
96,75.0,CPU-bound,Moderate
97,75.0,CPU-bound,Moderate
